"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RelevantIDFraudScore","Q_RelevantIDLastStartDate","Q3","Q4","Q5","Q6","Q8_1","Q8_2","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q11","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q19_9","Q19_10","Q19_11","Q19_12","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q26_7","Q26_8","Q26_9","Q15","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q13_7","opp","gc","term","Q_BallotBoxStuffing","Q_TotalDuration","expected_loi","expected_ir","expected_n","geo_IP","Q_CHL","rid","RISN","LS","transaction_id","SVID","PS","psid","K2","med","X_k","entrySigCheck","DisplayOrder","V","tg","orderNumber"
"11","09-01-25 3:17","09-01-25 3:23","IP address","100","335","True","09-01-25 3:23","R_2109p5TXn0SJkYI","anonymous","EN","1",NA,"0","0",NA,"45-54","Male","Northern and Eastern Finland","Professional qualification",2,"2","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","I don't trust at all 0","2","Some interest","Somewhat agree","Totally disagree","Totally agree","Totally agree","Totally agree","Much worse","Much worse","Much worse","Much worse","Much worse","Staying the same","Much worse","Much worse","Much worse","Much worse","Much worse","Much worse","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","Not at all close to 0","2","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","I do not like at all 0","1","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I do not like at all 0","I did not vote","Totally disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Totally agree","Totally agree","Qual73530196-3004-Finland","1",NA,NA,"335","10","0.6","1500","EN","anonymous",NA,NA,NA,"5iy3zdQJDmeYWd29t8HoFC","37679796","341","9046f1ec-3eab-a077-cf81-0e7332849b75",NA,NA,NA,NA,NA,NA,NA,NA
"12","09-01-25 3:16","09-01-25 3:23","IP address","100","405","True","09-01-25 3:23","R_2EmFhJxJA4xqExs","anonymous","EN","1",NA,"0","0",NA,"35-44","Male","Helsinki and Uusimaa","Matriculation examination",7,"3","5","5","4","3","5","9","8","Only a little interested","Somewhat agree","Totally disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat worse","Somewhat worse","Somewhat worse","Staying the same","Staying the same","Staying the same","Staying the same","Some improvement","Staying the same","Staying the same","Somewhat worse","Staying the same","4","5","4","4","4","7","4","5","6","7","8","8","9","2","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","7","5","1","1","4","2","1","1","4","Social Democratic Party of Finland (SDP)","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"405","10","0.6","1500","EN","anonymous",NA,NA,NA,"0f0nRtPAM0aaSCDScmO0u4","37679796","341","d03e5d39-ff12-65cf-acf1-ddd6848bf676",NA,NA,NA,NA,NA,NA,NA,NA
"13","09-01-25 3:19","09-01-25 3:23","IP address","100","234","True","09-01-25 3:23","R_8iy3vNB2fKrtOFj","anonymous","EN","1",NA,"0","0",NA,"25-34","Male","Western Finland","Professional qualification",4,"7","4","4","3","4","7","6","3","Only a little interested","Somewhat agree","Somewhat disagree","Totally agree","Somewhat agree","Somewhat agree","Much worse","Much worse","Staying the same","Staying the same","Some improvement","Some improvement","Somewhat worse","Much worse","Much worse","Staying the same","Remaining the same","Some improvement","7","8","5","6","6","7","9","9","This development is entirely due to government policy 10","6","8","8","7","8","4","5","4","3","Not at all close to 0","5","6","7","8","5","5","4","4","I do not like at all 0","6","7","True Finns (PS)","Totally disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Totally agree","Somewhat agree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"234","10","0.6","1500","EN","anonymous",NA,NA,NA,"6CIfY8lrM63OXEvh1ToMEF","37679796","341","ea0a99d3-6627-b985-e87a-6dd7bac843c7",NA,NA,NA,NA,NA,NA,NA,NA
"14","09-01-25 3:17","09-01-25 3:23","IP address","100","351","True","09-01-25 3:23","R_8Sp14Qg07VUrbMn","anonymous","EN","1",NA,"0","0",NA,"25-34","Female","Western Finland","Professional qualification",4,"4","3","3","4","2","5","7","6","Only a little interested","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Totally agree","Neither agree nor disagree","Somewhat worse","Much worse","Somewhat worse","Staying the same","I don't know","I don't know","Somewhat worse","I don't know","Much worse","Staying the same","Staying the same","I don't know","6","5","5","6","5","5","8","6","This development is entirely due to government policy 10","8","6","6","6","6","6","5","3","5","2","9","3","6","6","6","6","5","5","4","9","6","Christian Democrats of Finland (KD)","Somewhat disagree","Somewhat disagree","Somewhat agree","Totally agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"351","10","0.6","1500","EN","anonymous",NA,NA,NA,"4AiraLyL3p8kYzcO5agzyE","37679796","341","dc8a0170-016f-8125-7c07-56602301fae4",NA,NA,NA,NA,NA,NA,NA,NA
"15","09-01-25 3:19","09-01-25 3:23","IP address","100","289","True","09-01-25 3:24","R_2ylq0xB2hQFsAmW","anonymous","EN","0,899999976",NA,"0","0",NA,"55+","Male","Western Finland","Upper secondary school or polytechnic degree",5,"5","7","7","7","7","6","7","7","Only a little interested","Somewhat agree","Totally disagree","Totally agree","Totally agree","Totally agree","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Staying the same","Staying the same","4","4","4","4","4","5","4","4","4","4","6","5","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","9","Not at all close to 0","Not at all close to 0","Not at all close to 0","Not at all close to 0","1","I do not like at all 0","1","1","8","1","1","1","1","I did not vote","Totally disagree","Totally agree","Somewhat agree","Neither agree nor disagree","Totally agree","Somewhat agree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"289","10","0.6","1500","EN","anonymous",NA,NA,NA,"2siizvsX0s156bNQlQhXuP","37679796","341","9342eaae-99a9-d8df-a6b1-8fdcc2c0a336",NA,NA,NA,NA,NA,NA,NA,NA
"16","09-01-25 3:17","09-01-25 3:23","IP address","100","381","True","09-01-25 3:24","R_2DJ6zuPPJVI2I0a","anonymous","EN","1",NA,"0","0",NA,"45-54","Male","Southern Finland","Primary school (grades 1-9)",5,"5","5","5","6","5","6","8","8","Some interest","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat worse","Somewhat worse","Staying the same","Much worse","Staying the same","Some improvement","Much worse","Staying the same","Staying the same","Staying the same","Some improvement","Some improvement","5","5","5","5","5","6","3","4","4","4","7","5","5","4","5","5","5","5","4","4","3","5","1","4","5","6","6","4","3","1","I did not vote","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"381","10","0.6","1500","EN","anonymous",NA,NA,NA,"6vpLvUZM9y35Iw5w8kHgi2","37679796","341","17c42d1f-02f7-cb55-5026-340e0977ccde",NA,NA,NA,NA,NA,NA,NA,NA
"17","09-01-25 3:21","09-01-25 3:24","IP address","100","139","True","09-01-25 3:24","R_269EUe6nCoL3Kgu","anonymous","EN","1",NA,"0","0",NA,"35-44","Female","Western Finland","Professional qualification",6,"6","7","8","7","7","7","5","6","Some interest","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Remaining the same","Staying the same","5","6","6","7","7","6","6","7","8","7","7","6","5","6","5","5","5","5","5","5","5","6","6","7","6","6","5","4","5","6","I did not vote","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Qual73530196-3004-Finland","1",NA,NA,"139","10","0.6","1500","EN","anonymous",NA,NA,NA,"1NrBTqZtZnRo1cnuAd14Qp","37679796","341","e2d2dd33-d051-2cf6-acfa-6aa24a1a79fc",NA,NA,NA,"on",NA,"D_API",NA,"XXX"
"18","09-01-25 3:21","09-01-25 3:24","IP address","100","174","True","09-01-25 3:24","R_2pa6lblAxE6aLJo","anonymous","EN","0,899999976",NA,"0","0",NA,"45-54","Female","Western Finland","Professional qualification",8,"7","6","I have full confidence in 10","6","6","6","8","7","Very interested","I don't know","Totally agree","Totally agree","Somewhat agree","Somewhat disagree","Some improvement","Somewhat worse","Somewhat worse","Staying the same","Staying the same","Somewhat worse","Much worse","Somewhat worse","Somewhat worse","Some improvement","Some improvement","Staying the same","4","2","1","4","5","5","4","3","4","6","6","5","7","6","4","4","3","1","Not at all close to 0","3","6","5","4","3","4","4","2","2","2","9","Centre Party of Finland (KESK)","Totally agree","Somewhat agree","Somewhat disagree","Totally disagree","Neither agree nor disagree","Somewhat agree","Totally disagree","Qual73530196-3004-Finland","1",NA,NA,"174","10","0.6","1500","EN","anonymous",NA,NA,NA,"2mW2WrQNrM7vWXxuuDaOjo","37679796","341","d9632d92-ea49-9990-d314-1b615e6d1a32",NA,NA,NA,"on",NA,"D_API",NA,"XXX"
"19","09-01-25 3:19","09-01-25 3:24","IP address","100","317","True","09-01-25 3:24","R_2BaGiG5cUnbAoXT","anonymous","EN","0,5",NA,"0","0",NA,"35-44","Female","Western Finland","Professional qualification",5,"5","8","8","8","6","7","8","8","Not at all interested","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Totally agree","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Staying the same","Much worse","Staying the same","Somewhat worse","Staying the same","Somewhat worse","Somewhat worse","8","9","8","9","9","9","9","6","8","8","9","8","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","5","I don't know","I don't know","5","5","I don't know","I don't know","I don't know","I don't know","I did not vote","Neither agree nor disagree","I don't know","Neither agree nor disagree","I don't know","I don't know","Neither agree nor disagree","Totally agree","Qual73530196-3004-Finland","1",NA,NA,"317","10","0.6","1500","EN","anonymous",NA,NA,NA,"5KdZKrCVz9kNGzsEtsZQIc","37679796","341","9d699144-2295-3eca-8841-2acb6bf3e712",NA,NA,NA,NA,NA,NA,NA,NA
"20","23-01-25 5:04","23-01-25 5:09","IP address","100","334","True","23-01-25 5:09","R_8WL6Uf9RyRSaGqJ","anonymous","EN","0,699999988",NA,"0","0",NA,"35-44","Female","Western Finland","Professional qualification",0,"2","6","7","I don't trust at all 0","4","8","7","8","Some interest","Totally agree","Somewhat disagree","Totally agree","Totally agree","Totally agree","Somewhat worse","Much worse","Somewhat worse","Much better","Staying the same","Much worse","Staying the same","I don't know","Somewhat worse","Remaining the same","I don't know","I don't know","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","This development is entirely due to government policy 10","I don't know","7","This development is entirely due to government policy 10","6","This development is entirely due to government policy 10","This development is entirely due to government policy 10","6","This development is entirely due to government policy 10","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","7","I do not like at all 0","6","5","8","9","I do not like at all 0","3","I don't know","National Coalition Party (NCP)","I don't know","Somewhat agree","Neither agree nor disagree","Totally disagree","Somewhat agree","Totally disagree","I don't know","Qual73530196-3004-Finland","1",NA,NA,"334","10","0.6","1500","EN","anonymous",NA,NA,NA,"46P2FrbxLC1nAnfSUyPn6r","37679796","341","bee441b8-a3b2-9c79-8b0e-22a2925a659d",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"21","23-01-25 5:03","23-01-25 5:11","IP address","100","481","True","23-01-25 5:11","R_2iEW175qA7ZcrrW","anonymous","EN","1",NA,"0","0",NA,"45-54","Male","Western Finland","Professional qualification",5,"4","3","3","4","3","4","6","7","Some interest","Somewhat agree","Totally disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Much worse","Somewhat worse","Somewhat worse","Staying the same","Staying the same","Staying the same","Much worse","Much worse","Much worse","Staying the same","Some improvement","Staying the same","7","7","6","5","5","5","8","8","9","6","5","5","2","7","3","5","1","1","1","1","7","2","6","3","5","1","1","1","1","6","True Finns (PS)","Totally disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Totally agree","Somewhat agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"481","10","0.6","1500","EN","anonymous",NA,NA,NA,"7oXRxBnpxfA1gHugsAEIJK","37679796","341","120023bf-1e8c-7ecf-74a5-589e48b1f449",NA,NA,NA,"on","Q17","D_API",NA,"XXX"
"22","23-01-25 5:04","23-01-25 5:17","IP address","100","750","True","23-01-25 5:17","R_2ahsgQhIIQcMhj9","anonymous","EN","0,800000012",NA,"0","0",NA,"45-54","Male","Helsinki and Uusimaa","Professional qualification",1,"5","2","5","2","5","7","5","7","Some interest","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Much worse","Somewhat worse","Staying the same","Staying the same","Staying the same","Staying the same","Somewhat worse","Staying the same","Somewhat worse","Somewhat worse","Somewhat worse","Staying the same","2","2","5","5","5","5","This development is entirely due to government policy 10","5","This development is entirely due to government policy 10","5","5","5","9","8","2","5","4","5","3","3","3","9","8","2","5","4","6","3","3","3","Social Democratic Party of Finland (SDP)","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Qual73530196-3004-Finland","1",NA,NA,"750","10","0.6","1500","EN","anonymous",NA,NA,NA,"7Fjg2gOqjbx8R05Kz6on9H","37679796","341","766aa2d5-084b-d896-51dd-b87317622ea7",NA,NA,NA,"on","Q25","D_API",NA,"XXX"
